image_path,true_class,predicted_class,confidence,error_type,reason_for_review
C:\cts\Efficientnet\Leafcare-model\data\test\peach___healthy\b35019c6-ba6a-4d0b-a80f-fa07f9118db6___Rutg._HL 3660.JPG,peach___healthy,peach___bacterial_spot,0.999238133430481,C. Healthy vs Diseased,Extremely high confidence misclassification (99.9%) — inspect for label noise or severe lesion ambiguity
C:\cts\Efficientnet\Leafcare-model\data\test\potato___late_blight\12e2c9b5-fbfc-4bc9-898b-86ead976a615___RS_LB 2702.JPG,potato___late_blight,potato___healthy,0.9951179027557372,C. Healthy vs Diseased,Extremely high confidence misclassification (99.5%) — inspect for label noise or severe lesion ambiguity
C:\cts\Efficientnet\Leafcare-model\data\test\apple___healthy\189c5270-4ba6-4c14-bfb2-3a7dd4d3e7aa___RS_HL 5984.JPG,apple___healthy,soybean___healthy,0.9908620119094848,C. Healthy vs Diseased,Extremely high confidence misclassification (99.1%) — inspect for label noise or severe lesion ambiguity
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___tomato_yellow_leaf_curl_virus\d708a0ae-b955-445f-9fd0-a4ca842cae1b___YLCV_NREC 2533.JPG,tomato___tomato_yellow_leaf_curl_virus,tomato___spider_mites_two_spotted_spider_mite,0.9900810122489928,A. Same crop / Visually similar diseases,Extremely high confidence misclassification (99.0%) — inspect for label noise or severe lesion ambiguity
C:\cts\Efficientnet\Leafcare-model\data\test\pepper_bell___healthy\95568ba3-79c0-462c-9416-c65610d1f737___JR_HL 8482.JPG,pepper_bell___healthy,soybean___healthy,0.9862754344940186,C. Healthy vs Diseased,Very high confidence misclassification (98.6%) — C. Healthy vs Diseased
C:\cts\Efficientnet\Leafcare-model\data\test\apple___apple_scab\6344cfa8-2c26-4498-b366-817d56285212___FREC_Scab 2964.JPG,apple___apple_scab,apple___healthy,0.9861698150634766,C. Healthy vs Diseased,Very high confidence misclassification (98.6%) — C. Healthy vs Diseased
C:\cts\Efficientnet\Leafcare-model\data\test\apple___healthy\8471f2db-6c5c-4aba-9ea4-0eea99121f19___RS_HL 5641.JPG,apple___healthy,peach___healthy,0.986061692237854,C. Healthy vs Diseased,Very high confidence misclassification (98.6%) — C. Healthy vs Diseased
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___septoria_leaf_spot\75ad2d9f-d6d5-403d-80f4-4e276093e184___Matt.S_CG 5989.JPG,tomato___septoria_leaf_spot,tomato___bacterial_spot,0.9800446629524232,A. Same crop / Visually similar diseases,Very high confidence misclassification (98.0%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___target_spot\dcccd1d5-958f-4ea9-9d04-a067275f137d___Com.G_TgS_FL 9846.JPG,tomato___target_spot,tomato___bacterial_spot,0.979098916053772,A. Same crop / Visually similar diseases,Very high confidence misclassification (97.9%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_spot\2e917b6c-8617-419d-b54e-2e5222d88e09___UF.GRC_BS_Lab Leaf 8938.JPG,tomato___bacterial_spot,potato___early_blight,0.9782910346984864,D. Cross-crop disease vs disease,Very high confidence misclassification (97.8%) — D. Cross-crop disease vs disease
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___target_spot\ea1a98f6-8ec2-434e-9e48-537378734029___Com.G_TgS_FL 0028.JPG,tomato___target_spot,tomato___bacterial_spot,0.9773833751678468,A. Same crop / Visually similar diseases,Very high confidence misclassification (97.7%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___septoria_leaf_spot\b77f34e1-6fa3-41d6-aea9-b11b8e7e3a04___Matt.S_CG 0955.JPG,tomato___septoria_leaf_spot,tomato___bacterial_spot,0.9753797054290771,A. Same crop / Visually similar diseases,Very high confidence misclassification (97.5%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___tomato_yellow_leaf_curl_virus\4160f824-4741-40ff-ab59-bfa932e9fc6f___YLCV_GCREC 2280.JPG,tomato___tomato_yellow_leaf_curl_virus,tomato___spider_mites_two_spotted_spider_mite,0.9717726707458496,A. Same crop / Visually similar diseases,Very high confidence misclassification (97.2%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_spot\25a52867-003f-4390-a80d-03c63c038e9a___UF.GRC_BS_Lab Leaf 0341.JPG,tomato___bacterial_spot,tomato___late_blight,0.9651311039924622,A. Same crop / Visually similar diseases,Very high confidence misclassification (96.5%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\blueberry___healthy\56d66220-72cc-43c1-af18-11722e22c6e1___RS_HL 5512.JPG,blueberry___healthy,pepper_bell___healthy,0.964465320110321,C. Healthy vs Diseased,Very high confidence misclassification (96.4%) — C. Healthy vs Diseased
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___target_spot\c4fdb176-7426-4556-9292-0f8ffe036d41___Com.G_TgS_FL 9892.JPG,tomato___target_spot,soybean___healthy,0.9637486338615416,C. Healthy vs Diseased,Very high confidence misclassification (96.4%) — C. Healthy vs Diseased
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___spider_mites_two_spotted_spider_mite\e4136455-c279-44f4-9996-c553e4f11245___Com.G_SpM_FL 8557.JPG,tomato___spider_mites_two_spotted_spider_mite,tomato___tomato_yellow_leaf_curl_virus,0.9623488187789916,A. Same crop / Visually similar diseases,Very high confidence misclassification (96.2%) — A. Same crop / Visually similar diseases
