manifest_id,split,source_class,target_class,filename,source_path,destination_path,file_size_bytes
1,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,010953a32c8892ba.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\010953a32c8892ba.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\010953a32c8892ba.jpg,27255
2,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,04a6f018dd31a620.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\04a6f018dd31a620.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\04a6f018dd31a620.jpg,34026
3,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,0abacd492ee3fc9e.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\0abacd492ee3fc9e.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\0abacd492ee3fc9e.jpg,32278
4,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,19b5888e33c04ecb.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\19b5888e33c04ecb.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\19b5888e33c04ecb.jpg,20756
5,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,19d952afedcea551.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\19d952afedcea551.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\19d952afedcea551.jpg,29818
6,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,1a22876b506da983.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\1a22876b506da983.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\1a22876b506da983.jpg,23235
7,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,1a3d2b1a0cfb1868.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\1a3d2b1a0cfb1868.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\1a3d2b1a0cfb1868.jpg,25788
8,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,1a5c3d8ca6fc605d.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\1a5c3d8ca6fc605d.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\1a5c3d8ca6fc605d.jpg,19647
9,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,1aa9f8503f90cc3d.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\1aa9f8503f90cc3d.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\1aa9f8503f90cc3d.jpg,19413
10,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,1e59a449fb17fdcd.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\1e59a449fb17fdcd.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\1e59a449fb17fdcd.jpg,23106
