epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_time_sec
1,0.9057,77.57,4.2279,88.68,0.001,224.82
2,0.4512,86.86,0.3253,90.98,0.00098908,255.41
3,0.4004,87.79,0.2824,91.68,0.00095682,265.13
4,0.3738,88.48,0.2647,92.23,0.0009046,253.91
5,0.3555,88.88,0.2481,92.32,0.00083473,268.08
6,0.346,89.08,15.7061,92.05,0.00075025,282.59
7,0.335,89.36,0.2382,92.76,0.00065485,280.59
8,0.3281,89.59,0.23,92.73,0.00055271,273.72
9,0.3241,89.79,0.2339,93.1,0.00044829,302.86
10,0.3209,89.69,0.226,93.01,0.00034615,208.66
11,0.3166,89.91,0.2179,93.15,0.00025075,214.64
12,0.314,90.07,0.2121,93.18,0.00016627,212.77
13,0.3082,89.97,0.2144,93.22,9.64e-05,207.15
14,0.3065,90.13,15.031,92.76,4.418e-05,207.56
15,0.3102,89.94,15.1858,92.77,1.192e-05,206.13
